# time  Id  DTNHost  true/false
665.0000 M217 206 true
665.0000 M218 206 true
665.0000 M114 206 true
665.0000 M120 95 true
665.0000 M221 95 true
665.0000 M212 95 true
665.0000 M218 65 true
665.0000 M116 219 true
665.0000 M115 219 true
665.0000 M118 219 true
665.0000 M117 219 true
665.0000 M119 219 true
665.0000 M113 219 true
665.0000 M216 219 true
665.0000 M214 219 true
665.0000 M219 219 true
665.0000 M212 219 true
665.0000 M112 15 true
665.0000 M220 15 true
665.0000 M221 208 true
665.0000 M220 208 true
665.0000 M123 208 true
665.0000 M122 208 true
665.0000 M121 208 true
665.0000 M120 208 true
665.0000 M215 208 true
665.0000 M212 208 true
665.0000 M219 170 true
665.0000 M216 185 true
665.0000 M116 212 true
665.0000 M115 212 true
665.0000 M120 212 true
665.0000 M212 212 true
665.0000 M118 175 true
665.0000 M113 175 true
665.0000 M216 175 true
665.0000 M116 9 true
665.0000 M116 217 true
665.0000 M115 217 true
665.0000 M118 217 true
665.0000 M117 217 true
665.0000 M119 217 true
665.0000 M113 217 true
665.0000 M216 217 true
665.0000 M214 217 true
665.0000 M219 217 true
665.0000 M114 207 true
665.0000 M221 207 true
665.0000 M220 207 true
665.0000 M123 207 true
665.0000 M122 207 true
665.0000 M121 207 true
665.0000 M217 207 true
665.0000 M218 207 true
665.0000 M215 155 true
665.0000 M115 137 true
665.0000 M120 218 true
665.0000 M216 218 true
665.0000 M219 218 true
665.0000 M115 218 true
665.0000 M220 105 true
665.0000 M213 105 true
665.0000 M116 214 true
665.0000 M115 214 true
665.0000 M215 214 true
665.0000 M216 216 true
665.0000 M219 216 true
665.0000 M115 216 true
665.0000 M114 56 true
665.0000 M118 203 true
665.0000 M117 203 true
665.0000 M220 203 true
665.0000 M123 203 true
665.0000 M214 203 true
665.0000 M221 210 true
665.0000 M220 210 true
665.0000 M123 210 true
665.0000 M122 210 true
665.0000 M121 210 true
665.0000 M215 210 true
665.0000 M118 174 true
665.0000 M113 174 true
665.0000 M216 174 true
665.0000 M114 55 true
665.0000 M220 104 true
665.0000 M213 104 true
665.0000 M123 110 true
667.0000 M217 204 true
667.0000 M218 204 true
667.0000 M118 204 true
667.0000 M117 204 true
667.0000 M114 204 true
667.0000 M215 100 true
667.0000 M213 100 true
670.0000 M124 200 true
670.0000 M116 200 true
670.0000 M119 200 true
670.0000 M117 76 true
670.0000 M115 195 true
670.0000 M119 195 true
670.0000 M117 77 true
675.0000 M119 0 true
720.0000 M223 144 true
720.0000 M128 115 true
720.0000 M127 115 true
720.0000 M222 35 true
720.0000 M225 35 true
720.0000 M223 145 true
720.0000 M129 145 true
720.0000 M225 37 true
720.0000 M221 211 true
720.0000 M232 211 true
720.0000 M227 211 true
720.0000 M124 30 true
720.0000 M132 30 true
720.0000 M221 41 true
720.0000 M222 71 true
720.0000 M229 71 true
720.0000 M129 215 true
720.0000 M126 215 true
720.0000 M234 215 true
720.0000 M223 215 true
720.0000 M224 215 true
720.0000 M229 215 true
720.0000 M127 116 true
720.0000 M228 197 true
720.0000 M221 93 true
720.0000 M224 128 true
720.0000 M232 85 true
720.0000 M134 85 true
720.0000 M227 85 true
720.0000 M232 205 true
720.0000 M230 205 true
720.0000 M221 205 true
720.0000 M224 205 true
720.0000 M229 205 true
720.0000 M225 205 true
720.0000 M227 205 true
720.0000 M129 205 true
720.0000 M128 205 true
720.0000 M125 205 true
720.0000 M127 111 true
720.0000 M221 94 true
720.0000 M226 94 true
720.0000 M228 196 true
720.0000 M232 86 true
720.0000 M134 86 true
720.0000 M227 86 true
720.0000 M124 140 true
720.0000 M129 75 true
720.0000 M125 75 true
720.0000 M224 75 true
720.0000 M225 38 true
720.0000 M223 143 true
720.0000 M229 72 true
720.0000 M221 40 true
720.0000 M225 40 true
720.0000 M128 114 true
720.0000 M127 114 true
720.0000 M133 181 true
720.0000 M128 209 true
720.0000 M232 209 true
720.0000 M221 209 true
720.0000 M227 209 true
720.0000 M231 5 true
720.0000 M133 182 true
720.0000 M130 61 true
720.0000 M225 36 true
720.0000 M125 160 true
720.0000 M232 66 true
720.0000 M227 48 true
720.0000 M230 49 true
720.0000 M227 49 true
720.0000 M230 21 true
720.0000 M125 78 true
720.0000 M230 201 true
720.0000 M231 201 true
720.0000 M222 201 true
720.0000 M225 201 true
720.0000 M128 201 true
720.0000 M125 201 true
720.0000 M130 201 true
720.0000 M132 201 true
720.0000 M131 201 true
720.0000 M127 113 true
720.0000 M222 70 true
720.0000 M229 70 true
720.0000 M126 150 true
720.0000 M228 150 true
720.0000 M126 97 true
720.0000 M126 151 true
720.0000 M127 112 true
720.0000 M231 6 true
720.0000 M130 186 true
720.0000 M131 16 true
720.0000 M232 87 true
720.0000 M134 87 true
720.0000 M230 20 true
720.0000 M224 129 true
720.0000 M127 117 true
720.0000 M127 118 true
720.0000 M126 96 true
720.0000 M130 62 true
720.0000 M229 136 true
720.0000 M231 202 true
720.0000 M132 202 true
720.0000 M131 202 true
720.0000 M131 17 true
725.0000 M230 50 true
725.0000 M135 50 true
725.0000 M227 50 true
725.0000 M224 130 true
725.0000 M233 217 true
725.0000 M228 217 true
725.0000 M125 217 true
725.0000 M124 217 true
725.0000 M134 217 true
725.0000 M133 217 true
725.0000 M130 217 true
725.0000 M132 217 true
725.0000 M131 217 true
725.0000 M131 15 true
725.0000 M230 206 true
725.0000 M135 206 true
725.0000 M130 206 true
725.0000 M225 206 true
725.0000 M234 207 true
725.0000 M232 207 true
725.0000 M230 207 true
725.0000 M222 207 true
725.0000 M224 207 true
725.0000 M229 207 true
725.0000 M225 207 true
725.0000 M227 207 true
725.0000 M129 207 true
725.0000 M128 207 true
725.0000 M125 207 true
725.0000 M135 207 true
725.0000 M130 207 true
725.0000 M130 60 true
725.0000 M126 95 true
725.0000 M226 95 true
725.0000 M223 104 true
725.0000 M234 210 true
725.0000 M232 210 true
725.0000 M223 210 true
725.0000 M224 210 true
725.0000 M229 210 true
725.0000 M129 210 true
725.0000 M128 210 true
725.0000 M126 210 true
725.0000 M134 210 true
725.0000 M129 213 true
725.0000 M126 213 true
725.0000 M234 213 true
725.0000 M223 213 true
725.0000 M224 213 true
725.0000 M234 212 true
725.0000 M233 212 true
725.0000 M223 212 true
725.0000 M224 212 true
725.0000 M226 212 true
725.0000 M228 212 true
725.0000 M126 212 true
725.0000 M124 212 true
725.0000 M134 212 true
725.0000 M133 212 true
725.0000 M131 212 true
725.0000 M127 110 true
725.0000 M230 203 true
725.0000 M231 203 true
725.0000 M222 203 true
725.0000 M225 203 true
725.0000 M128 203 true
725.0000 M125 203 true
725.0000 M124 203 true
725.0000 M135 203 true
725.0000 M130 203 true
725.0000 M132 203 true
725.0000 M131 203 true
725.0000 M233 216 true
725.0000 M134 216 true
725.0000 M133 216 true
725.0000 M228 216 true
725.0000 M229 137 true
725.0000 M133 180 true
725.0000 M232 65 true
725.0000 M131 155 true
725.0000 M234 214 true
725.0000 M233 214 true
725.0000 M223 214 true
725.0000 M224 214 true
725.0000 M229 214 true
725.0000 M228 214 true
725.0000 M126 214 true
725.0000 M124 214 true
725.0000 M134 214 true
725.0000 M133 214 true
725.0000 M131 214 true
725.0000 M132 170 true
725.0000 M134 175 true
725.0000 M233 175 true
725.0000 M226 175 true
725.0000 M234 134 true
725.0000 M234 208 true
725.0000 M232 208 true
725.0000 M223 208 true
725.0000 M224 208 true
725.0000 M229 208 true
725.0000 M226 208 true
725.0000 M129 208 true
725.0000 M128 208 true
725.0000 M126 208 true
725.0000 M134 208 true
725.0000 M130 185 true
725.0000 M233 218 true
725.0000 M133 218 true
725.0000 M226 218 true
725.0000 M228 218 true
725.0000 M226 174 true
725.0000 M223 105 true
725.0000 M233 219 true
725.0000 M228 219 true
725.0000 M125 219 true
725.0000 M124 219 true
725.0000 M133 219 true
725.0000 M130 219 true
725.0000 M132 219 true
725.0000 M131 219 true
725.0000 M133 135 true
725.0000 M234 135 true
725.0000 M229 135 true
728.0000 M230 204 true
728.0000 M135 204 true
728.0000 M222 204 true
728.0000 M225 204 true
730.0000 M129 76 true
730.0000 M125 76 true
730.0000 M129 77 true
730.0000 M125 77 true
730.0000 M228 195 true
730.0000 M231 200 true
730.0000 M132 200 true
730.0000 M131 200 true
735.0000 M136 0 true
735.0000 M135 0 true
780.0000 M135 49 true
780.0000 M143 92 true
780.0000 M243 35 true
780.0000 M143 91 true
780.0000 M143 84 true
780.0000 M138 17 true
780.0000 M143 90 true
780.0000 M143 89 true
780.0000 M243 160 true
780.0000 M139 6 true
780.0000 M140 215 true
780.0000 M141 215 true
780.0000 M240 215 true
780.0000 M143 87 true
780.0000 M236 191 true
780.0000 M242 138 true
780.0000 M238 25 true
780.0000 M240 75 true
780.0000 M239 112 true
780.0000 M143 93 true
780.0000 M143 88 true
780.0000 M142 129 true
780.0000 M143 85 true
780.0000 M144 202 true
780.0000 M238 202 true
780.0000 M138 202 true
780.0000 M243 202 true
780.0000 M142 190 true
780.0000 M236 190 true
780.0000 M140 136 true
780.0000 M141 136 true
780.0000 M242 136 true
780.0000 M243 36 true
780.0000 M138 16 true
780.0000 M242 184 true
780.0000 M244 184 true
780.0000 M241 82 true
780.0000 M143 82 true
780.0000 M239 186 true
780.0000 M144 1 true
780.0000 M135 1 true
780.0000 M139 45 true
780.0000 M135 48 true
780.0000 M241 80 true
780.0000 M143 86 true
780.0000 M139 44 true
780.0000 M143 83 true
780.0000 M144 145 true
780.0000 M141 54 true
780.0000 M144 201 true
780.0000 M138 201 true
780.0000 M139 201 true
780.0000 M136 201 true
780.0000 M135 201 true
780.0000 M243 201 true
780.0000 M139 5 true
780.0000 M141 205 true
780.0000 M139 205 true
780.0000 M136 205 true
780.0000 M135 205 true
780.0000 M240 205 true
780.0000 M139 43 true
780.0000 M239 111 true
780.0000 M137 57 true
780.0000 M244 66 true
780.0000 M138 18 true
780.0000 M241 81 true
780.0000 M242 183 true
785.0000 M237 125 true
785.0000 M141 212 true
785.0000 M142 212 true
785.0000 M144 212 true
785.0000 M238 212 true
785.0000 M236 212 true
785.0000 M237 212 true
785.0000 M241 212 true
785.0000 M242 212 true
785.0000 M246 212 true
785.0000 M238 156 true
785.0000 M244 65 true
785.0000 M140 208 true
785.0000 M141 208 true
785.0000 M239 208 true
785.0000 M240 208 true
785.0000 M241 208 true
785.0000 M245 208 true
785.0000 M246 208 true
785.0000 M247 208 true
785.0000 M141 207 true
785.0000 M235 207 true
785.0000 M139 207 true
785.0000 M240 207 true
785.0000 M244 207 true
785.0000 M245 207 true
785.0000 M235 170 true
785.0000 M245 50 true
785.0000 M140 137 true
785.0000 M141 137 true
785.0000 M242 137 true
